# 148 country destinations — generated 2026-08-08
# Drop the photo in public/images/countries/ named after the first
# column: <slug>.jpg (.jpeg .png .webp .avif also work). Anything without a
# file falls back to the placeholder. Restart the dev server after adding.

afghanistan                   Afghanistan
albania                       Albania
algeria                       Algeria
andorra                       Andorra
anguilla                      Anguilla
antigua-and-barbuda           Antigua and Barbuda
argentina                     Argentina
armenia                       Armenia
australia                     Australia
austria                       Austria
azerbaijan                    Azerbaijan
bahamas                       Bahamas
bahrain                       Bahrain
bangladesh                    Bangladesh
barbados                      Barbados
belarus                       Belarus
belgium                       Belgium
belize                        Belize
bolivia                       Bolivia
bosnia-and-herzegovina        Bosnia and Herzegovina
brazil                        Brazil
british-virgin-islands        British Virgin Islands
bulgaria                      Bulgaria
cambodia                      Cambodia
canada                        Canada
cape-verde                    Cape Verde
cayman-islands                Cayman Islands
chad                          Chad
chile                         Chile
china                         China
colombia                      Colombia
congo-dem-rep                 Congo Dem. Rep
congo-republic                Congo Republic
costa-rica                    Costa Rica
croatia                       Croatia
cyprus                        Cyprus
czech-republic                Czech Republic
denmark                       Denmark
dominica                      Dominica
dominican-republic            Dominican Republic
ecuador                       Ecuador
egypt                         Egypt
el-salvador                   El Salvador
estonia                       Estonia
faroe-islands                 Faroe Islands
fiji                          Fiji
finland                       Finland
france                        France
french-guiana                 French Guiana
gabon                         Gabon
georgia                       Georgia
germany                       Germany
ghana                         Ghana
gibraltar                     Gibraltar
greece                        Greece
grenada                       Grenada
guadeloupe                    Guadeloupe
guam                          Guam
guatemala                     Guatemala
honduras                      Honduras
hong-kong                     Hong Kong
hungary                       Hungary
iceland                       Iceland
india                         India
indonesia                     Indonesia
iraq                          Iraq
ireland                       Ireland
israel                        Israel
italy                         Italy
jamaica                       Jamaica
japan                         Japan
jordan                        Jordan
kazakhstan                    Kazakhstan
kenya                         Kenya
kuwait                        Kuwait
kyrgyzstan                    Kyrgyzstan
laos                          Laos
latvia                        Latvia
liechtenstein                 Liechtenstein
lithuania                     Lithuania
luxembourg                    Luxembourg
macao-china                   Macao China
macedonia                     Macedonia
madagascar                    Madagascar
malawi                        Malawi
malaysia                      Malaysia
maldives                      Maldives
malta                         Malta
mauritius                     Mauritius
mexico                        Mexico
moldova                       Moldova
mongolia                      Mongolia
montenegro                    Montenegro
montserrat                    Montserrat
morocco                       Morocco
nepal                         Nepal
netherlands                   Netherlands
netherlands-antilles          Netherlands Antilles
new-zealand                   New Zealand
nicaragua                     Nicaragua
niger                         Niger
nigeria                       Nigeria
norway                        Norway
oman                          Oman
pakistan                      Pakistan
palestinian-territory         Palestinian Territory
panama                        Panama
paraguay                      Paraguay
peru                          Peru
philippines                   Philippines
poland                        Poland
portugal                      Portugal
puerto-rico                   Puerto Rico
qatar                         Qatar
reunion                       Reunion
romania                       Romania
russian-federation            Russian Federation
rwanda                        Rwanda
saint-kitts-and-nevis         Saint Kitts and Nevis
saint-lucia                   Saint Lucia
saint-vincent-and-grenadines  Saint Vincent and Grenadines
saudi-arabia                  Saudi Arabia
senegal                       Senegal
serbia                        Serbia
singapore                     Singapore
slovakia                      Slovakia
slovenia                      Slovenia
south-africa                  South Africa
south-korea                   South Korea
spain                         Spain
sri-lanka                     Sri Lanka
sweden                        Sweden
switzerland                   Switzerland
taiwan                        Taiwan
tanzania                      Tanzania
thailand                      Thailand
tunisia                       Tunisia
turkey                        Turkey
turks-and-caicos-islands      Turks and Caicos Islands
uganda                        Uganda
ukraine                       Ukraine
united-arab-emirates          United Arab Emirates
united-kingdom                United Kingdom
united-states                 United States
uruguay                       Uruguay
uzbekistan                    Uzbekistan
venezuela                     Venezuela
vietnam                       Vietnam
