# 11 region destinations — generated 2026-08-08
# Drop the photo in public/images/regions/ named after the first
# column: <slug>.jpg (.jpeg .png .webp .avif also work). Anything without a
# file falls back to the placeholder. Restart the dev server after adding.

asia           Asia
asia-pacific   Asia Pacific
balkans        Balkans
cis            CIS
europe         Europe
japan          Japan
latam          LATAM
latin-america  Latin America
middle-east    MIDDLE EAST
north-america  North America
sea            SEA
